"OKV_SCHEMA","DL_NAAM","DL_ID","DL_RUN_ID","PROCES_NAAM","DL_FREQUENTIE_INFO","PROCES_STATUS","VERSCHIL","TYPE_DL_NAAM","AANTAL_RUNS_PER_BRON","AANTAL_RUNS_GOED","AANTAL_RUNS_FOUT","RUN_FOUT","START_TIJD","EIND_TIJD"
"OKV_UPA_PO","upa.upadagelijks",53,3006,"DetecteerPakbon","dagelijks, alleen op werkdagen","Afgebroken",61,"bestand",507,476,31,3,30-03-2022 09:00_21,30-03-2022 10:01_28
"OKV_UPA_PO","upa.upadagelijks",53,3006,"MasterBestandHarnas","dagelijks, alleen op werkdagen","Afgebroken",61,"bestand",507,476,31,3,30-03-2022 09:00_16,30-03-2022 10:01_38
"OKV_UPA_PO","upa.upadagelijks",53,3006,"PlatBestandHarnas","dagelijks, alleen op werkdagen","Afgebroken",61,"bestand",507,476,31,3,30-03-2022 09:00_18,30-03-2022 10:01_33
"OKV_UPA_PO","upa.upadagelijks",53,2988,"DetecteerPakbon","dagelijks, alleen op werkdagen","Afgebroken",61,"bestand",507,476,31,3,29-03-2022 09:00_22,29-03-2022 10:01_28
"OKV_UPA_PO","upa.upadagelijks",53,2988,"MasterBestandHarnas","dagelijks, alleen op werkdagen","Afgebroken",61,"bestand",507,476,31,3,29-03-2022 09:00_18,29-03-2022 10:01_37
"OKV_UPA_PO","upa.upadagelijks",53,2988,"PlatBestandHarnas","dagelijks, alleen op werkdagen","Afgebroken",61,"bestand",507,476,31,3,29-03-2022 09:00_19,29-03-2022 10:01_33
"OKV_UPA_PO","upa.upadagelijks",53,2970,"DetecteerPakbon","dagelijks, alleen op werkdagen","Afgebroken",61,"bestand",507,476,31,3,23-03-2022 08:00_16,23-03-2022 09:01_22
"OKV_UPA_PO","upa.upadagelijks",53,2970,"MasterBestandHarnas","dagelijks, alleen op werkdagen","Afgebroken",61,"bestand",507,476,31,3,23-03-2022 08:00_12,23-03-2022 09:01_31
"OKV_UPA_PO","upa.upadagelijks",53,2970,"PlatBestandHarnas","dagelijks, alleen op werkdagen","Afgebroken",61,"bestand",507,476,31,3,23-03-2022 08:00_14,23-03-2022 09:01_26
"OKV_UPA_PO","upa.upadagelijks",53,2967,"DetecteerPakbon","dagelijks, alleen op werkdagen","Afgebroken",60,"bestand",507,476,31,3,22-03-2022 08:00_19,22-03-2022 09:00_26
